,Accession,Actual Flag,My Flag
115,MG957544,3'CTS-mut,3'CTS-mut
116,LC367420,3'CTS-mut,3'CTS-mut
117,MH246147,5'CTS-mut,5'CTS-mut
118,MH560115,5'CTS-mut,5'CTS-mut
119,MH029129,5'NCR-ext,5'NCR-ext
120,MH029129,5'CTS-mut,5'CTS-mut
121,MH029129,5'CTS-mut,5'CTS-mut
122,MH029129,CDS-3Xdel,CDS-3Xdel
123,MH029129,CDS-3Xdel,CDS-3Xdel
124,MH029129,CDS-3Xdel,CDS-3Xdel
125,MG836749,3'CTS-mut,3'CTS-mut
126,MG836792,5'NCR-del,Pass
127,MH061677,3'NCR-del,3'NCR-del
128,MH061677,3'CTS-del,3'CTS-del
129,MF694134,5'NCR-del,5'NCR-del
130,LC374928,5'CTS-mut,5'CTS-mut
131,LC374928,5'CTS-mut,5'CTS-mut
132,LC374928,5'CTS-mut,5'CTS-mut
133,MH013214,3'CTS-mut,3'CTS-mut
134,MH013214,3'NCR-ext,3'NCR-ext
135,MH540423,5'CTS-mut,5'CTS-mut
136,MH411893,5'NCR-ext,5'NCR-ext
137,MH411893,5'CTS-mut,5'NCR-ext
138,MK077186,5'CTS-mut,5'CTS-mut
139,MK077226,5'CTS-mut,5'CTS-mut
140,MK077291,5'CTS-mut,5'CTS-mut
141,MH134676,5'NCR-del,5'NCR-del
142,MK025717,5'CTS-mut,5'CTS-mut
143,MK265604,5'CTS-mut,5'CTS-mut
144,MH029129,CDS-3Xdel,CDS-3Xdel
145,MK557216,5'CTS-mut,5'CTS-mut
146,MK557467,5'CTS-mut,5'CTS-mut
147,MK557579,5'CTS-mut,5'CTS-mut
148,MK963177,5'NCR-del,5'NCR-del
149,MK963245,5'NCR-del,5'NCR-del
150,MK963635,5'NCR-del,5'NCR-del
151,KY935555,3'CTS-del,3'CTS-ins
152,KY935555,3'CTS-mut,3'CTS-mut
153,KY935555,3'CTS-mut,3'CTS-mut
154,KY935555,3'NCR-ext,3'CTS-ins
155,MK376985,5'NCR-del,5'NCR-del
156,MK212789,CDS-3Xdel,CDS-3Xdel
157,MK212789,3'NCR-del,CDS-3Xdel
158,MK212789,3'CTS-mut,CDS-3Xdel
159,MK364652,5'CTS-mut,5'CTS-mut
160,MK363979,5'CTS-mut,5'CTS-mut
161,MK398752,5'CTS-mut,5'CTS-mut
162,MK398896,5'CTS-mut,5'CTS-mut
163,MK358011,3'CTS-del,3'CTS-mut
164,MK358011,3'CTS-mut,3'CTS-mut
165,MK964317,5'NCR-del,5'NCR-del
166,MH588106,5'NCR-ext,5'NCR-ext
167,MH588106,5'CTS-ins,5'CTS-mut
168,LC208496,5'CTS-mut,5'CTS-mut
169,LC208496,5'CTS-mut,5'CTS-mut
170,LC374932,5'CTS-mut,5'CTS-mut
171,MH061691,3'NCR-del,3'NCR-del
172,MK943150,5'NCR-del,5'NCR-del
173,MH498590,CDS-del,Pass
174,MH842389,CDS-3Xdel,CDS-3Xdel
175,MF173286,5'CTS-mut,5'CTS-mut
176,MK364720,5'CTS-mut,5'CTS-mut
177,MH546413,3'CTS-mut,3'CTS-mut
178,MF399631,3'CTS-mut,3'CTS-mut
179,MH061717,5'CTS-mut,5'CTS-mut
180,MH375876,3'CTS-mut,3'CTS-mut
181,MF099262,5'CTS-mut,5'CTS-mut
182,MF099262,5'NCR-del,5'NCR-del
183,MH578879,CDS-ins,CDS-ins
184,MH578879,CDS-del,CDS-del
185,MH560124,5'NCR-del,Pass
186,MH134844,5'NCR-del,5'NCR-del
187,MH682214,CDS-3Xins,Unknown
188,MH682214,CDS-3Xdel,Unknown
189,MH682214,CDS-3Xdel,Unknown
190,MH682214,CDS-3Xdel,Unknown
191,MH682214,CDS-ins,Unknown
192,MH682214,CDS-ins,Unknown
193,MG836784,5'NCR-del,3'CTS-mut
194,MG836784,3'CTS-mut,3'CTS-mut
195,MH061703,3'NCR-del,Pass
196,MH061703,3'CTS-del,Pass
197,MH061703,3'NCR-ext,Pass
198,MH061676,CDS-3Xdel,CDS-3Xdel
199,MK475320,5'CTS-mut,5'CTS-mut
200,LC431385,5'CTS-mut,5'CTS-mut
201,LC208512,5'CTS-mut,5'CTS-mut
202,MH183735,5'CTS-mut,5'CTS-mut
203,MH183688,5'CTS-mut,5'CTS-mut
204,MH071500,5'NCR-ext,5'NCR-ext
205,MH071500,5'CTS-mut,5'CTS-mut
206,MH071500,5'CTS-mut,5'CTS-mut
207,MH578718,CDS-3Xdel,CDS-3Xdel
208,MK077250,5'CTS-mut,5'CTS-mut
209,MK168521,CDS-3Xdel,CDS-3Xdel
210,MK265564,5'CTS-mut,5'CTS-mut
211,MH134619,5'NCR-del,5'NCR-del
212,MH596995,5'NCR-del,5'NCR-del
213,MK245912,5'CTS-mut,5'CTS-mut
214,MK245816,5'CTS-mut,5'CTS-mut
215,MG572491,3'CTS-mut,3'CTS-mut
216,MK556979,5'CTS-mut,5'CTS-mut
217,MK963412,5'NCR-del,5'NCR-del
218,MK963811,5'NCR-del,5'NCR-del
219,MK964277,5'NCR-del,5'NCR-del
220,MK964375,5'NCR-del,5'NCR-del
221,MK964409,5'NCR-del,5'NCR-del
222,MH061847,3'CTS-mut,3'CTS-mut
223,MH588109,5'NCR-ext,5'NCR-ext
224,MH588109,5'CTS-ins,5'CTS-mut
225,MH283607,CDS-del,Pass
226,MK972684,CDS-3Xdel,CDS-3Xdel
227,MK978896,3'CTS-mut,3'CTS-mut
228,MK978896,3'CTS-mut,3'CTS-mut
229,MN083444,5'CTS-mut,5'CTS-mut
230,MH283607,CDS-ins,Pass
231,MH061767,3'CTS-mut,3'CTS-mut
232,MH061815,3'CTS-mut,3'CTS-mut
233,MH346629,CDS-3Xdel,CDS-3Xdel
234,MG592287,CDS-3Xins,CDS-3Xins
235,MH061833,3'CTS-mut,3'CTS-mut
236,MF173170,5'CTS-mut,5'CTS-mut
237,MH682200,CDS-del,CDS-del
238,MK942891,5'NCR-del,5'NCR-del
239,LC431431,5'CTS-mut,5'CTS-mut
240,LC431487,5'CTS-mut,5'CTS-mut
241,KY935522,3'CTS-del,3'CTS-mut
242,KY935522,3'CTS-mut,3'CTS-mut
243,KY935522,3'CTS-mut,3'CTS-mut
244,KY935522,3'CTS-mut,3'CTS-mut
245,KY935522,3'NCR-ext,3'CTS-mut
246,MH128090,3'CTS-mut,3'CTS-mut
247,MH128090,3'NCR-ext,3'NCR-ext
248,MN252199,CDS-del,Pass
249,MF399623,5'NCR-ext,5'NCR-ext
250,MF399623,3'NCR-ext,3'NCR-ext
251,MG984009,5'CTS-mut,5'CTS-mut
252,MF575201,5'NCR-del,5'NCR-del
253,MH682210,CDS-del,CDS-3Xdel
254,MH682210,CDS-del,CDS-3Xdel
255,MH682210,CDS-del,CDS-3Xdel
256,MH682210,CDS-ins,CDS-3Xdel
257,KU679931,3'NCR-ext,3'NCR-ext
258,MK462862,5'NCR-del,Pass
259,MH061556,5'NCR-del,Pass
260,MH061583,5'CTS-mut,5'CTS-mut
261,MH061583,3'CTS-mut,3'CTS-mut
262,MH061655,3'CTS-mut,3'CTS-mut
263,MH546539,CDS-ins,5'NCR-ins
264,LC431416,3'NCR-ins,3'NCR-ins
265,LC208487,3'CTS-mut,3'CTS-mut
266,LC208487,3'CTS-mut,3'CTS-mut
267,LC208508,5'CTS-mut,5'CTS-mut
268,MG882007,3'CTS-mut,3'CTS-mut
269,MK364161,5'CTS-mut,5'CTS-mut
270,MK292573,5'CTS-mut,5'CTS-mut
271,MK245944,5'CTS-mut,5'CTS-mut
272,MK265588,5'CTS-mut,5'CTS-mut
273,MK265660,5'CTS-mut,5'CTS-mut
274,MK462515,CDS-3Xins,CDS-3Xins
275,MH346943,CDS-3Xdel,CDS-3Xdel
276,MK963549,5'NCR-del,5'NCR-del
277,MK265537,5'CTS-mut,5'CTS-mut
278,MK364097,5'CTS-mut,5'CTS-mut
279,MK364630,5'CTS-mut,5'CTS-mut
280,MG693001,3'NCR-ext,3'NCR-ext
281,MF630431,CDS-3Xdel,CDS-3Xdel
282,MH013199,3'CTS-mut,3'CTS-mut
283,MH013199,3'NCR-ext,3'NCR-ext
284,MK964441,5'NCR-del,5'NCR-del
285,MK964718,5'NCR-del,5'NCR-del
286,MH560107,5'NCR-del,5'NCR-del
287,MF399551,5'NCR-ext,5'NCR-ext
288,MF399551,3'NCR-ext,3'NCR-ext
289,MH061799,3'CTS-mut,3'CTS-mut
290,MH352254,CDS-del,CDS-ins
291,MK556859,5'CTS-mut,5'CTS-mut
292,MG779872,5'CTS-mut,5'CTS-mut
293,MK676592,5'CTS-mut,5'CTS-mut
294,MK676670,5'CTS-mut,5'CTS-mut
295,MH061682,5'CTS-mut,5'CTS-mut
296,MH061637,3'NCR-del,3'NCR-del
297,MH061637,3'CTS-mut,3'CTS-mut
298,MH061637,3'CTS-mut,3'CTS-mut
299,MF098827,5'CTS-mut,5'CTS-mut
300,MH560111,5'NCR-del,Pass
301,MH356639,5'NCR-del,Pass
302,MH356645,5'NCR-del,Pass
303,LC369571,3'NCR-ext,3'NCR-ext
304,MH791465,5'CTS-mut,5'CTS-mut
305,MN552872,5'CTS-mut,5'CTS-mut
306,MK558880,5'CTS-mut,5'CTS-mut
307,MK544184,CDS-del,Pass
308,MH592360,CDS-ins,Pass
309,MH592360,CDS-del,Pass
310,MF575295,5'NCR-del,5'NCR-del
311,LC430954,3'CTS-mut,3'CTS-mut
312,LC430967,5'CTS-mut,5'CTS-mut
313,MK100321,CDS-ins,Pass
314,MK100321,CDS-ins,Pass
315,MG572495,5'CTS-del,3'NCR-del
316,MG572495,5'CTS-mut,3'NCR-del
317,MG572495,5'NCR-del,3'NCR-del
318,MG572495,3'NCR-del,3'NCR-del
319,MH061775,5'NCR-del,Pass
320,NC_004907,5'NCR-ext,3'CTS-mut
321,NC_004907,5'CTS-mut,5'CTS-mut
322,NC_004907,3'CTS-mut,3'CTS-mut
323,NC_004907,3'CTS-mut,3'CTS-mut
324,MH446698,5'CTS-mut,5'CTS-mut
325,MH579200,CDS-3Xdel,CDS-3Xdel
326,MH579200,CDS-del,CDS-del
327,MH579200,CDS-del,CDS-del
328,LC367448,3'CTS-mut,3'CTS-mut
329,LC367448,3'CTS-mut,3'CTS-mut
330,MH560103,5'CTS-mut,5'CTS-mut
331,MH791680,3'CTS-mut,3'CTS-mut
332,MH791919,3'CTS-mut,3'CTS-mut
333,MH546867,CDS-ins,5'NCR-ins
334,MK168551,5'CTS-mut,5'CTS-mut
335,MG592282,CDS-3Xdel,CDS-3Xdel
336,MH061580,5'NCR-del,3'CTS-mut
337,MH061580,3'NCR-del,3'CTS-mut
338,MH061580,3'CTS-del,3'CTS-mut
339,MH061580,3'CTS-mut,3'CTS-mut
340,MH061580,3'CTS-mut,3'CTS-mut
341,MH061580,3'CTS-mut,3'CTS-mut
342,MK964514,5'NCR-del,5'NCR-del
343,MK964522,5'NCR-del,5'NCR-del
344,MK963959,5'NCR-del,5'NCR-del
345,MH134766,5'CTS-mut,5'CTS-mut
346,MH134766,5'NCR-del,5'NCR-del
347,MH134823,5'CTS-mut,5'CTS-mut
348,MH134823,5'NCR-del,5'NCR-del
349,MH134650,5'NCR-del,5'NCR-del
350,MH791846,3'CTS-mut,3'CTS-mut
351,MK692940,3'CTS-mut,3'CTS-mut
352,MG966336,3'CTS-mut,3'CTS-mut
353,MG966336,3'CTS-mut,3'CTS-mut
354,MG966336,3'CTS-mut,3'CTS-mut
355,MG966336,3'NCR-ext,3'NCR-ext
356,MK964766,5'NCR-del,5'NCR-del
357,MH346848,CDS-3Xdel,CDS-3Xdel
358,MK357956,5'CTS-mut,5'CTS-mut
359,LC367388,5'CTS-mut,5'CTS-mut
360,LC379583,3'NCR-ext,3'NCR-ext
361,MH061663,3'CTS-mut,3'CTS-mut
362,MH061786,5'CTS-mut,5'CTS-mut
363,MH560112,5'NCR-del,Pass
364,MH560123,5'NCR-del,5'NCR-del
365,MK168498,CDS-3Xdel,CDS-3Xdel
366,LC364020,5'CTS-mut,5'CTS-mut
367,LC364020,5'CTS-mut,5'CTS-mut
368,MK445842,5'CTS-mut,5'CTS-mut
369,MK398840,5'CTS-mut,5'CTS-mut
370,MK236701,5'CTS-mut,5'CTS-mut
371,MK236701,5'CTS-mut,5'CTS-mut
372,LC431354,5'CTS-mut,5'CTS-mut
373,LC431426,5'CTS-mut,5'CTS-mut
374,LC431426,3'CTS-mut,3'CTS-mut
375,LC431451,5'CTS-mut,5'CTS-mut
376,MH013213,5'CTS-mut,5'CTS-mut
377,MH592309,CDS-3Xdel,CDS-3Xdel
378,MG925520,5'CTS-mut,5'CTS-mut
379,MG592283,CDS-3Xins,CDS-3Xins
380,MF399607,5'NCR-ext,5'NCR-ext
381,MF399607,3'NCR-ext,3'NCR-ext
382,MH128091,3'NCR-ext,3'NCR-ext
383,MN083388,5'CTS-mut,5'CTS-mut
384,MN083956,5'CTS-mut,5'CTS-mut
385,MH061677,3'CTS-mut,3'CTS-mut
386,MH061677,3'CTS-mut,3'CTS-mut
387,MH061789,3'CTS-mut,3'CTS-mut
388,MF399559,3'CTS-mut,3'CTS-mut
389,MK557491,5'CTS-mut,5'CTS-mut
390,MH412292,5'NCR-ext,5'NCR-ext
391,MH412292,5'CTS-mut,5'NCR-ext
392,MH540569,5'CTS-mut,5'CTS-mut
393,LC363995,5'CTS-mut,5'CTS-mut
394,LC363995,5'CTS-mut,5'CTS-mut
395,MH345746,CDS-3Xdel,CDS-3Xdel
396,MF455318,3'NCR-del,3'NCR-del
397,MH701497,CDS-3Xdel,CDS-3Xdel
398,MH061805,5'CTS-ins,5'CTS-mut
399,MH061596,3'NCR-del,3'NCR-del
400,MH560113,5'NCR-del,5'NCR-del
401,MH701506,CDS-3Xdel,CDS-3Xdel
402,MK077170,5'CTS-mut,5'CTS-mut
403,MK557643,5'CTS-mut,5'CTS-mut
404,MN083940,5'CTS-mut,5'CTS-mut
405,MN083329,5'CTS-mut,5'CTS-mut
406,MN083772,5'CTS-mut,5'CTS-mut
407,MN083436,5'CTS-mut,5'CTS-mut
408,MH764200,5'NCR-del,5'NCR-del
409,MK544232,Pass,Pass
410,MN267499,Pass,Pass
411,MK237531,Pass,Pass
412,MK557722,Pass,Pass
413,MN001561,Pass,Pass
414,MK772943,Pass,Pass
415,MK038755,Pass,Pass
416,MK763724,Pass,Pass
417,MN300908,Pass,Pass
418,MK027510,Pass,Pass
419,MH733712,Pass,Pass
420,MK745757,Pass,Pass
421,MN538794,Pass,Pass
422,MH180741,Pass,Pass
423,MK942485,Pass,Pass
424,MK772490,Pass,Pass
425,MN001992,Pass,Pass
426,MN301991,Pass,Pass
427,MN210308,Pass,Pass
428,MH596999,Pass,Pass
429,LC431368,Pass,Pass
430,MK913128,Pass,Pass
431,MN820024,Pass,Pass
432,MH596984,Pass,Pass
433,MK244795,Pass,Pass
434,MN386997,Pass,Pass
435,MK743769,Pass,Pass
436,MN573015,Pass,Pass
437,MH733637,Pass,Pass
438,MG815815,Pass,Pass
439,MG575598,Pass,CDS-3Xdel
440,MK364262,Pass,Pass
441,MH764176,Pass,Pass
442,MN424060,Pass,Pass
443,MG784630,Pass,Pass
444,MK559792,Pass,Pass
445,MK677063,Pass,Pass
446,MK168388,Pass,Pass
447,MH233424,Pass,Pass
448,MN221515,Pass,Pass
449,MN607479,Pass,Pass
450,MK181842,Pass,Pass
451,MK785812,Pass,Pass
452,MN570342,Pass,Pass
453,MH585875,Pass,3'CTS-mut
454,MN571983,Pass,Pass
455,MN231677,Pass,Pass
456,MN423451,Pass,Pass
457,MK868858,Pass,Pass
458,MK763441,Pass,Pass
459,MK960141,Pass,Pass
460,MN002793,Pass,Pass
461,MK636436,Pass,Pass
462,MN544235,Pass,Pass
463,MN246741,Pass,Pass
464,MH083275,Pass,Pass
465,MG974404,Pass,Pass
466,MG977502,Pass,Pass
467,MK445833,Pass,Pass
468,MN424096,Pass,Pass
469,MN703079,Pass,Pass
470,MH068182,Pass,Pass
471,KY794630,Pass,Pass
472,MF099274,Pass,Pass
473,MN004729,Pass,Pass
474,MH126521,Pass,Pass
475,MN003522,Pass,Pass
476,MN716496,Pass,Pass
477,MN248036,Pass,Pass
478,MK553533,Pass,Pass
479,MK535409,Pass,Pass
480,MK633588,Pass,Pass
481,MN300701,Pass,Pass
482,MH083258,Pass,Pass
483,MN571073,Pass,Pass
484,MN530899,Pass,Pass
485,MK027560,Pass,Pass
486,MK626300,Pass,3'CTS-mut
487,MN300271,Pass,Pass
488,MH306697,Pass,Pass
489,MK785987,Pass,Pass
490,MG962439,Pass,Pass
491,MN648627,Pass,Pass
492,MH894531,Pass,Pass
493,MN004055,Pass,Pass
494,MN221539,Pass,Pass
495,MN571712,Pass,Pass
496,MN319355,Pass,Pass
497,MK786325,Pass,Pass
498,MN574061,Pass,Pass
499,MN423105,Pass,Pass
500,MK730362,Pass,Pass
501,MH597830,Pass,Pass
502,MK856870,Pass,Pass
503,MH665597,Pass,Pass
504,MK623710,Pass,Pass
505,MH183657,Pass,Pass
506,MK633284,Pass,Pass
507,MK869379,Pass,Pass
508,MK857567,Pass,Pass
509,MH083244,Pass,Pass
510,MK381895,Pass,Pass
511,MN184600,Pass,Pass
512,MK071356,Pass,Pass
513,MN074605,Pass,Pass
514,MK400804,Pass,Pass
515,MN568090,Pass,Pass
516,MK615241,Pass,3'CTS-mut
517,MN161693,Pass,Pass
518,MH601579,Pass,Pass
519,MH246195,Pass,Pass
520,MN572190,Pass,Pass
521,MN372879,Pass,Pass
522,MK245863,Pass,Pass
523,MG974624,Pass,Pass
524,MH157019,Pass,Pass
525,MK772201,Pass,Pass
526,MK265460,Pass,Pass
527,MK676725,Pass,Pass
528,MK856858,Pass,Pass
529,MK635775,Pass,Pass
530,MK328700,Pass,Pass
531,MN572650,Pass,Pass
532,MK731612,Pass,Pass
533,MN530768,Pass,Pass
534,MK786377,Pass,Pass
535,MG978473,Pass,Pass
536,MG602527,Pass,Pass
537,MH445462,Pass,Pass
538,MN424022,Pass,Pass
539,MN574139,Pass,Pass
540,MH592278,Pass,Pass
541,MN081101,Pass,Pass
542,MH718292,Pass,Pass
543,MK246082,Pass,Pass
544,MK743583,Pass,Pass
545,MK999645,Pass,Pass
546,MK979088,Pass,Pass
547,MH084029,Pass,Pass
548,MN254017,Pass,Pass
549,MK241042,Pass,Pass
550,MH083959,Pass,Pass
551,MG965014,Pass,Pass
552,MH125924,Pass,Pass
553,MK743254,Pass,Pass
554,MK381932,Pass,Pass
555,MN319329,Pass,Pass
556,MN002773,Pass,Pass
557,KY615190,Pass,Pass
558,LC364015,Pass,Pass
559,MN570077,Pass,Pass
560,MK744810,Pass,Pass
561,MH546449,Pass,Pass
562,MK628082,Pass,Pass
563,MK399166,Pass,Pass
564,MK899409,Pass,Pass
565,MK364177,Pass,Pass
566,MK401227,Pass,Pass
567,MH598350,Pass,Pass
568,MK628132,Pass,Pass
569,MK631671,Pass,Pass
570,MK623038,Pass,Pass
571,MK600691,Pass,Pass
572,MH305726,Pass,Pass
573,MK763701,Pass,Pass
574,MH446749,Pass,Pass
575,MK615292,Pass,Pass
576,MG831113,Pass,Pass
577,MH600310,Pass,Pass
578,MG957524,Pass,Pass
579,MK380082,Pass,Pass
580,MN319006,Pass,Pass
581,MK246061,Pass,Pass
582,MN084155,Pass,Pass
583,MN248025,Pass,Pass
584,MN223336,Pass,Pass
585,MH183764,Pass,Pass
586,MK502951,Pass,Pass
587,MN754194,Pass,Pass
588,MK960569,Pass,Pass
589,MN074090,Pass,Pass
590,MK237045,Pass,Pass
591,MK898559,Pass,Pass
592,MK857046,Pass,Pass
593,MN423649,Pass,3'CTS-mut
594,CY264806,Pass,Pass
595,MH079686,Pass,Pass
596,MN302312,Pass,Pass
597,MG836800,Pass,Pass
598,MK557382,Pass,Pass
599,MK363332,Pass,Pass
600,MK536043,Pass,Pass
601,MN530685,Pass,Pass
602,MK190692,Pass,Pass
603,MK475035,Pass,Pass
604,MN569130,Pass,Pass
605,MN221567,Pass,Pass
606,MN301428,Pass,Pass
607,MK326831,Pass,Pass
608,MN400375,Pass,Pass
609,MH183911,Pass,Pass
610,MH412352,Pass,Pass
611,MN328327,Pass,Pass
612,MN538520,Pass,Pass
613,MK371690,Pass,Pass
614,MH305930,Pass,Pass
615,MK626470,Pass,Pass
616,MK772870,Pass,Pass
617,MN552857,Pass,Pass
618,MN003954,Pass,Pass
619,MN570614,Pass,Pass
620,MH068297,Pass,Pass
621,MH396694,Pass,Pass
622,MN372582,Pass,Pass
623,MH560127,Pass,Pass
624,MK246060,Pass,Pass
625,MK818000,Pass,Pass
626,MK745222,Pass,Pass
627,MN507232,Pass,Pass
628,MK960131,Pass,Pass
629,MK964706,Pass,Pass
630,MK364691,Pass,Pass
631,MK553606,Pass,Pass
632,MK705277,Pass,CDS-3Xdel
633,MN300580,Pass,Pass
634,MH306901,Pass,Pass
635,MK326761,Pass,Pass
636,MN085120,Pass,Pass
637,MK651397,Pass,Pass
638,MK576628,Pass,Pass
639,MK635943,Pass,Pass
640,MN254746,Pass,Pass
641,MH131519,Pass,Pass
642,MH492505,Pass,Pass
643,MN571069,Pass,Pass
644,MK364410,Pass,Pass
645,MN154293,Pass,Pass
646,MK623579,Pass,Pass
647,MK398930,Pass,Pass
648,MN318831,Pass,Pass
649,MK129463,Pass,Pass
650,MN424225,Pass,Pass
651,CY266763,Pass,Pass
652,MN004558,Pass,Pass
653,MK328737,Pass,Pass
654,MK960994,Pass,Pass
655,MK398914,Pass,Pass
656,MK763530,Pass,Pass
657,MN081052,Pass,Pass
658,MN571775,Pass,Pass
659,MH135621,Pass,Pass
660,MK553514,Pass,Pass
661,MK502716,Pass,Pass
662,MH345739,Pass,Pass
663,MK364658,Pass,Pass
664,MK237711,Pass,Pass
665,MN055035,Pass,Pass
666,LC371785,Pass,Pass
667,MH061602,Pass,Pass
668,MK745694,Pass,Pass
669,MK839833,Pass,Pass
670,MH637772,Pass,3'CTS-mut
671,MH785017,Pass,Pass
672,MN229864,Pass,Pass
673,MH135336,Pass,Pass
674,MK763253,Pass,Pass
675,MK631607,Pass,Pass
676,MK763034,Pass,Pass
677,MN000814,Pass,Pass
678,MH130182,Pass,Pass
679,MN755269,Pass,Pass
680,MG650652,Pass,Pass
681,MH105895,Pass,Pass
682,MK240223,Pass,Pass
683,MK868757,Pass,Pass
684,MK401342,Pass,Pass
685,MG745984,Pass,Pass
686,MK729976,Pass,Pass
