,Accession,Actual Flag,My Flag
153,MN155772,3'NCR-del,3'NCR-del
154,MH684309,3'CTS-mut,3'CTS-mut
155,MH684309,3'NCR-ext,3'NCR-ext
156,MN230467,3'NCR-ins,3'NCR-ins
157,MN230304,3'NCR-del,3'NCR-del
158,MH703062,3'NCR-del,3'NCR-del
159,MH703064,3'NCR-del,3'NCR-del
160,MN435056,3'NCR-ins,3'NCR-ins
161,MN493741,5'NCR-del,5'NCR-del
162,MN493746,3'CTS-mut,3'CTS-mut
163,MN493746,3'NCR-ext,3'NCR-ext
164,MG692773,3'NCR-del,3'NCR-del
165,MN493620,3'CTS-mut,3'CTS-mut
166,MN493620,3'CTS-mut,3'CTS-mut
167,MN819211,5'NCR-ins,5'NCR-ins
168,MN396692,3'CTS-mut,3'CTS-mut
169,MN480836,3'CTS-mut,3'CTS-mut
170,MN483442,3'CTS-mut,3'CTS-mut
171,MN493613,3'NCR-ins,3'NCR-ins
172,LC409181,3'CTS-mut,3'CTS-mut
173,MN156034,3'NCR-ins,3'NCR-ins
174,NC_002210,3'NCR-ins,3'NCR-ins
175,NC_002211,5'CTS-mut,5'CTS-mut
176,CY262881,CDS-3Xdel,CDS-3Xdel
177,MG830531,3'NCR-del,3'NCR-del
178,MH585150,3'NCR-ins,3'NCR-ins
179,MH583368,3'NCR-ins,3'NCR-ins
180,MH585075,3'NCR-ins,3'NCR-ins
181,MH606706,3'NCR-ins,3'NCR-ins
182,MK625938,5'NCR-del,5'NCR-del
183,MN493738,3'CTS-mut,3'CTS-mut
184,MN493738,3'NCR-ext,3'NCR-ext
185,MN480790,3'NCR-del,Pass
186,MH606359,5'NCR-del,Pass
187,MN559749,3'NCR-ext,3'NCR-ext
188,MN559753,3'NCR-ext,3'NCR-ext
189,NC_002208,5'CTS-mut,5'CTS-mut
190,NC_002208,5'NCR-del,5'NCR-del
191,MN559747,3'NCR-ext,3'NCR-ext
192,MN539665,CDS-del,Pass
193,MH684314,5'CTS-mut,5'CTS-mut
194,MH684314,5'CTS-mut,5'CTS-mut
195,MN371695,3'NCR-del,3'NCR-del
196,MN230599,3'NCR-del,3'NCR-del
197,MH703061,3'NCR-del,3'NCR-del
198,MH703063,3'NCR-del,3'NCR-del
199,MH703065,3'NCR-del,3'NCR-del
200,MH703067,3'NCR-del,Pass
201,MN507180,3'NCR-del,3'NCR-del
202,MN507192,CDS-3Xdel,CDS-3Xdel
203,MN819522,3'NCR-del,3'NCR-del
204,MN819224,3'CTS-mut,3'CTS-mut
205,MN480837,3'CTS-mut,3'CTS-mut
206,MN480837,3'NCR-ext,3'NCR-ext
207,MG692775,5'CTS-mut,5'CTS-mut
208,MG692775,3'CTS-mut,3'CTS-mut
209,MN485877,3'NCR-del,3'NCR-del
210,MN485877,3'NCR-del,3'NCR-del
211,MN485877,3'NCR-del,3'NCR-del
212,MN493750,3'CTS-mut,3'CTS-mut
213,MG692772,3'CTS-mut,3'CTS-mut
214,MN819488,3'NCR-ins,3'NCR-ins
215,MK898351,CDS-3Xdel,CDS-3Xdel
216,MN588501,Pass,Pass
217,MN588503,Pass,Pass
218,MN588504,Pass,Pass
219,MN588506,Pass,Pass
220,MN588804,Pass,Pass
221,MN588806,Pass,Pass
222,MN588446,Pass,Pass
223,MN588449,Pass,Pass
224,MN588451,Pass,Pass
225,MN754498,Pass,3'NCR-del
226,MN754500,Pass,3'NCR-del
227,MN588828,Pass,Pass
228,MN588830,Pass,Pass
229,MN588832,Pass,Pass
230,MN588566,Pass,Pass
231,MN754503,Pass,Pass
232,MN754505,Pass,Pass
233,MN754506,Pass,3'NCR-del
234,MN588871,Pass,Pass
235,MN588919,Pass,Pass
236,MN588921,Pass,Pass
237,MN588923,Pass,Pass
238,MN588967,Pass,Pass
239,MN588969,Pass,Pass
240,MN588971,Pass,Pass
241,MN588973,Pass,Pass
242,MN588975,Pass,Pass
243,MN589040,Pass,Pass
244,MN589042,Pass,CDS-3Xdel
245,MN589044,Pass,Pass
246,MN589252,Pass,Pass
247,MN589254,Pass,Pass
248,MN588510,Pass,Pass
249,MN588512,Pass,Pass
250,MN588600,Pass,Pass
251,MN588603,Pass,Pass
252,MN588779,Pass,Pass
253,MN588781,Pass,Pass
254,MN588783,Pass,Pass
255,MN588785,Pass,Pass
256,MN588567,Pass,Pass
257,MN588792,Pass,Pass
258,MN588794,Pass,CDS-3Xdel
259,MN588787,Pass,Pass
260,MN588452,Pass,Pass
261,MN588558,Pass,Pass
262,MN588560,Pass,Pass
263,MN588562,Pass,Pass
264,MN588564,Pass,Pass
265,MN754509,Pass,CDS-3Xdel
266,MN754511,Pass,Pass
267,MN754513,Pass,Pass
268,MN754515,Pass,Pass
269,MN754517,Pass,CDS-3Xdel
270,MN588925,Pass,Pass
271,MN588927,Pass,Pass
272,MN588929,Pass,Pass
273,MN588931,Pass,Pass
274,MN588933,Pass,Pass
275,MN588977,Pass,Pass
276,MN588979,Pass,Pass
277,MN588980,Pass,Pass
278,MN588982,Pass,Pass
279,MN588984,Pass,Pass
280,MN589005,Pass,Pass
281,MN589007,Pass,Pass
282,MN589009,Pass,Pass
283,MN589011,Pass,Pass
284,MN588895,Pass,Pass
285,MN588897,Pass,Pass
286,MN588899,Pass,Pass
287,MN588901,Pass,Pass
288,MN588903,Pass,Pass
289,MN588640,Pass,Pass
290,MN588642,Pass,Pass
291,MN588644,Pass,Pass
292,MN588647,Pass,Pass
293,MN588649,Pass,Pass
294,MN589092,Pass,Pass
295,MN589094,Pass,Pass
296,MN589096,Pass,Pass
297,MN874045,Pass,Pass
298,MN874047,Pass,Pass
299,MN874049,Pass,Pass
300,MN874051,Pass,Pass
301,MN874053,Pass,Pass
302,MN589013,Pass,Pass
303,MN588332,Pass,Pass
304,MN588334,Pass,Pass
305,MN588336,Pass,Pass
306,MN588338,Pass,Pass
307,MN588340,Pass,Pass
308,MN588606,Pass,Pass
309,MN588608,Pass,Pass
310,MN588610,Pass,Pass
311,MN588613,Pass,Pass
312,MN588789,Pass,Pass
313,MN588434,Pass,Pass
314,MN588436,Pass,Pass
315,MN588438,Pass,Pass
316,MN588440,Pass,Pass
317,MN588565,Pass,Pass
318,CY265956,Pass,Pass
319,CY265958,Pass,CDS-del
320,CY263945,Pass,Pass
321,CY263947,Pass,Pass
322,CY263952,Pass,Pass
323,CY263954,Pass,Pass
324,CY264624,Pass,3'NCR-del
325,CY264627,Pass,Pass
326,CY264629,Pass,CDS-del
327,CY263800,Pass,Pass
328,CY263802,Pass,3'NCR-del
329,CY263805,Pass,Pass
330,CY263807,Pass,CDS-del
331,MG910757,Pass,Pass
332,MG910766,Pass,Pass
333,MG869087,Pass,3'NCR-del
334,MG869089,Pass,Pass
335,MG869091,Pass,Pass
336,MH671778,Pass,3'NCR-del
337,MH671780,Pass,Pass
338,MG812175,Pass,Pass
339,MG812178,Pass,Pass
340,CY262992,Pass,Pass
341,CY263016,Pass,3'NCR-del
342,CY263032,Pass,3'NCR-del
343,CY262847,Pass,Pass
344,CY265784,Pass,Pass
345,CY265785,Pass,3'NCR-del
346,CY263751,Pass,CDS-del
347,CY263753,Pass,Pass
348,CY263755,Pass,Pass
349,CY263822,Pass,Pass
350,CY265629,Pass,3'NCR-del
351,CY265632,Pass,Pass
352,CY265633,Pass,Pass
353,CY265635,Pass,Pass
354,CY265637,Pass,3'NCR-del
355,CY263957,Pass,CDS-del
356,CY263959,Pass,Pass
357,CY263961,Pass,Pass
358,CY263962,Pass,Pass
359,CY263967,Pass,Pass
360,CY262929,Pass,CDS-3Xdel
361,CY262931,Pass,Pass
362,CY262933,Pass,Pass
363,CY262935,Pass,Pass
364,CY262938,Pass,Pass
365,CY263019,Pass,Pass
366,CY263020,Pass,Pass
367,CY263022,Pass,Pass
368,CY263025,Pass,CDS-3Xdel
369,CY263027,Pass,Pass
370,CY265708,Pass,Pass
371,CY265710,Pass,Pass
372,CY265712,Pass,Pass
373,CY265714,Pass,CDS-del
374,CY265855,Pass,Pass
375,CY265857,Pass,3'NCR-del
376,CY265860,Pass,Pass
377,CY265928,Pass,Pass
378,CY265929,Pass,3'NCR-del
379,CY265932,Pass,Pass
380,CY265595,Pass,Pass
381,CY265597,Pass,Pass
382,CY265599,Pass,3'NCR-del
383,CY265602,Pass,Pass
384,CY265603,Pass,Pass
385,MG910770,Pass,Pass
386,MG910771,Pass,Pass
387,MG910774,Pass,Pass
388,MH080780,Pass,Pass
389,MH080782,Pass,Pass
390,MH080784,Pass,3'NCR-del
391,MH080786,Pass,5'NCR-del
392,MH080788,Pass,Pass
393,MH080988,Pass,Pass
394,MH080990,Pass,Pass
395,MH080992,Pass,Pass
396,MH080993,Pass,Pass
397,MH080995,Pass,Pass
398,MH080997,Pass,3'NCR-del
399,MG910865,Pass,Pass
400,MG910867,Pass,Pass
401,MG910926,Pass,Pass
402,CY263652,Pass,3'NCR-del
403,CY262904,Pass,3'NCR-del
404,CY264752,Pass,3'NCR-del
405,CY265787,Pass,3'NCR-del
406,CY262849,Pass,CDS-3Xdel
407,CY262851,Pass,Pass
408,CY262853,Pass,Pass
409,CY262857,Pass,CDS-3Xdel
410,CY265788,Pass,Pass
411,CY265789,Pass,Pass
412,CY265935,Pass,Pass
413,CY265937,Pass,3'NCR-del
414,CY265940,Pass,Pass
415,CY265942,Pass,CDS-del
416,CY265944,Pass,Pass
417,CY262860,Pass,Pass
418,CY262863,Pass,Pass
419,CY262866,Pass,Pass
420,MN493625,Pass,Pass
421,MG002425,Pass,Pass
422,MH130451,Pass,3'NCR-del
423,MG002426,Pass,Pass
424,MG926547,Pass,Pass
425,MG926850,Pass,Pass
426,CY265954,Pass,Pass
427,CY265957,Pass,Pass
428,MG921568,Pass,Pass
429,MG921570,Pass,CDS-3Xdel
430,MG921608,Pass,Pass
431,MG921610,Pass,Pass
432,MG921613,Pass,Pass
433,MG910787,Pass,Pass
434,MG910924,Pass,Pass
435,CY262944,Pass,3'NCR-del
436,CY265952,Pass,Pass
437,CY264749,Pass,Pass
438,CY264751,Pass,Pass
439,CY264754,Pass,Pass
440,CY265853,Pass,Pass
441,CY264755,Pass,CDS-del
442,CY262845,Pass,Pass
443,CY262846,Pass,3'NCR-del
444,CY265783,Pass,Pass
445,CY262850,Pass,Pass
446,CY262852,Pass,Pass
447,CY262855,Pass,Pass
448,CY262858,Pass,Pass
449,CY265786,Pass,Pass
450,CY265790,Pass,CDS-del
451,CY265936,Pass,Pass
452,CY265938,Pass,Pass
453,CY265941,Pass,Pass
454,CY265945,Pass,3'NCR-del
455,CY262859,Pass,Pass
456,CY262861,Pass,Pass
457,CY262865,Pass,CDS-3Xdel
458,CY262868,Pass,Pass
459,CY265948,Pass,Pass
460,CY265950,Pass,CDS-del
461,CY262869,Pass,Pass
462,CY262871,Pass,Pass
463,CY262874,Pass,Pass
464,CY262877,Pass,Pass
465,CY262879,Pass,Pass
466,CY262885,Pass,Pass
467,CY262887,Pass,Pass
468,CY262891,Pass,Pass
469,CY262893,Pass,Pass
470,CY262895,Pass,Pass
471,CY263773,Pass,Pass
472,CY263779,Pass,Pass
473,CY263782,Pass,Pass
474,CY263784,Pass,Pass
475,CY263786,Pass,3'NCR-del
476,CY263789,Pass,Pass
477,CY263791,Pass,CDS-del
478,CY265760,Pass,Pass
479,CY265762,Pass,3'NCR-del
480,CY265765,Pass,Pass
481,CY265768,Pass,Pass
482,CY263793,Pass,Pass
483,CY263795,Pass,Pass
484,CY263799,Pass,CDS-del
485,CY265771,Pass,Pass
486,CY265774,Pass,Pass
487,CY265776,Pass,Pass
488,CY265778,Pass,3'NCR-del
489,CY262901,Pass,Pass
490,CY262903,Pass,Pass
491,CY262907,Pass,Pass
492,CY262909,Pass,Pass
493,CY262910,Pass,Pass
494,CY262913,Pass,CDS-3Xdel
495,CY262914,Pass,Pass
496,CY262919,Pass,Pass
497,CY263661,Pass,Pass
498,CY263663,Pass,CDS-3Xdel
499,CY263665,Pass,Pass
500,CY263669,Pass,Pass
501,CY263611,Pass,3'NCR-del
502,CY264027,Pass,Pass
503,CY264032,Pass,Pass
504,CY264034,Pass,Pass
505,CY264037,Pass,CDS-3Xdel
506,CY263102,Pass,Pass
507,CY263105,Pass,CDS-3Xdel
508,CY263108,Pass,Pass
509,CY263110,Pass,Pass
510,CY263487,Pass,Pass
511,CY263489,Pass,CDS-del
512,CY263492,Pass,3'NCR-del
513,CY263495,Pass,Pass
514,CY263670,Pass,Pass
515,CY263672,Pass,Pass
516,CY263674,Pass,3'NCR-del
517,CY263678,Pass,Pass
518,CY263615,Pass,CDS-del
519,CY263617,Pass,Pass
520,CY263619,Pass,Pass
521,CY263624,Pass,Pass
522,MN588324,Pass,Pass
523,MN588326,Pass,Pass
524,MN588328,Pass,Pass
525,MN588381,Pass,Pass
526,MN588383,Pass,Pass
527,MN588385,Pass,Pass
528,MN588387,Pass,Pass
529,MN589276,Pass,Pass
530,MN589278,Pass,Pass
531,MN589280,Pass,Pass
532,MN588358,Pass,Pass
533,MN588569,Pass,Pass
534,MN588904,Pass,Pass
535,LC409180,Pass,Pass
536,LC409182,Pass,Pass
537,MN754519,Pass,Pass
538,MN754521,Pass,3'NCR-del
539,MN754523,Pass,3'NCR-del
540,MN754525,Pass,Pass
541,MN754527,Pass,Pass
542,MN754528,Pass,Pass
543,MN754529,Pass,3'NCR-del
544,MN588935,Pass,Pass
545,MN588937,Pass,Pass
546,MN588941,Pass,Pass
547,MN588943,Pass,Pass
548,MN588987,Pass,Pass
549,MN588989,Pass,Pass
550,MN588991,Pass,Pass
551,MN588993,Pass,Pass
552,MN588995,Pass,Pass
553,MN589016,Pass,Pass
554,MN589018,Pass,CDS-3Xdel
555,MN589020,Pass,Pass
556,MN589022,Pass,Pass
557,MN589025,Pass,Pass
558,MN588342,Pass,Pass
559,LC409195,Pass,Pass
560,MN656004,Pass,Pass
561,MN588652,Pass,Pass
562,MN589137,Pass,Pass
563,MN589444,Pass,Pass
564,MN589242,Pass,CDS-3Xdel
565,MN588344,Pass,Pass
566,MN588346,Pass,Pass
567,MN588614,Pass,Pass
568,MN588616,Pass,Pass
569,MN588618,Pass,Pass
570,MN588620,Pass,Pass
571,MN588655,Pass,Pass
572,MN588445,Pass,Pass
573,MN588556,Pass,Pass
574,MN588455,Pass,Pass
575,MN588457,Pass,Pass
576,MN754470,Pass,Pass
577,MN754472,Pass,Pass
578,MN588389,Pass,Pass
579,MN588391,Pass,Pass
580,MN588393,Pass,Pass
581,MN588395,Pass,Pass
582,MN588397,Pass,Pass
583,MN588361,Pass,Pass
584,MN588364,Pass,Pass
585,MN588368,Pass,Pass
586,MN588571,Pass,Pass
587,MN588573,Pass,Pass
588,MN588575,Pass,Pass
589,MN656006,Pass,Pass
590,MN656008,Pass,Pass
591,MN656010,Pass,CDS-3Xdel
592,MN656011,Pass,Pass
593,MN754474,Pass,3'NCR-del
594,MN754531,Pass,Pass
595,MN754533,Pass,Pass
596,MN588844,Pass,Pass
597,MN588846,Pass,Pass
598,MN588848,Pass,Pass
599,MN588944,Pass,Pass
600,MN588946,Pass,CDS-3Xdel
601,MN588948,Pass,Pass
602,MN588950,Pass,Pass
603,MN656013,Pass,Pass
604,MN589331,Pass,Pass
605,MN589333,Pass,Pass
606,MN589246,Pass,Pass
607,MN589248,Pass,Pass
608,MN589250,Pass,CDS-3Xdel
609,MN589098,Pass,CDS-3Xdel
610,MN588398,Pass,Pass
611,MN588400,Pass,Pass
612,MN588402,Pass,Pass
613,MN588546,Pass,Pass
614,MN588549,Pass,Pass
615,MN588371,Pass,Pass
616,MN588373,Pass,Pass
617,MN588375,Pass,Pass
618,MN589282,Pass,CDS-3Xdel
619,MN589334,Pass,Pass
620,MN589336,Pass,Pass
621,MN588710,Pass,CDS-3Xdel
622,MN588712,Pass,CDS-3Xdel
623,MN588714,Pass,CDS-3Xdel
624,MN588717,Pass,CDS-3Xdel
625,CY263122,Pass,Pass
626,CY263125,Pass,Pass
627,CY263126,Pass,Pass
628,CY263129,Pass,CDS-3Xdel
629,CY263131,Pass,Pass
630,CY263509,Pass,Pass
631,CY263511,Pass,Pass
632,CY263513,Pass,CDS-del
633,CY263515,Pass,Pass
634,CY263520,Pass,Pass
635,CY263685,Pass,Pass
636,CY263687,Pass,CDS-del
637,CY263639,Pass,CDS-3Xdel
638,CY263641,Pass,Pass
639,CY263643,Pass,Pass
640,CY263645,Pass,Pass
641,CY263647,Pass,CDS-3Xdel
642,CY263757,Pass,Pass
643,CY263464,Pass,Pass
644,CY263466,Pass,Pass
645,CY263469,Pass,Pass
646,CY263472,Pass,Pass
647,CY263581,Pass,Pass
648,CY263584,Pass,Pass
649,CY263586,Pass,Pass
650,CY263588,Pass,3'NCR-del
651,CY263589,Pass,Pass
652,CY263824,Pass,Pass
653,CY263826,Pass,Pass
654,CY263831,Pass,Pass
655,CY263833,Pass,Pass
656,CY265640,Pass,Pass
657,CY265641,Pass,3'NCR-del
658,CY265792,Pass,Pass
659,CY265794,Pass,Pass
660,CY265796,Pass,Pass
661,CY265862,Pass,CDS-3Xdel
662,CY265864,Pass,Pass
663,CY265866,Pass,Pass
664,CY265869,Pass,Pass
665,CY265967,Pass,Pass
666,CY265969,Pass,Pass
667,CY265970,Pass,Pass
668,CY265973,Pass,3'NCR-del
669,CY265744,Pass,Pass
670,CY265746,Pass,3'NCR-del
671,CY265747,Pass,Pass
672,CY265750,Pass,Pass
673,CY265752,Pass,Pass
674,MG812142,Pass,Pass
675,MG812146,Pass,Pass
676,MG812149,Pass,Pass
677,MG812151,Pass,Pass
678,MG910782,Pass,Pass
679,MG910784,Pass,Pass
680,MG910786,Pass,Pass
681,MH081150,Pass,Pass
682,MH081152,Pass,3'NCR-del
683,MH081154,Pass,5'NCR-del
684,MH081156,Pass,Pass
685,MH081158,Pass,Pass
686,MH081160,Pass,3'NCR-del
687,MH080673,Pass,Pass
688,MH080675,Pass,Pass
689,MH080677,Pass,CDS-3Xdel
690,MH080679,Pass,Pass
691,MH081229,Pass,CDS-del
692,MH081264,Pass,Pass
693,MH080790,Pass,Pass
694,MH080792,Pass,Pass
695,MH363586,Pass,Pass
696,MH363588,Pass,Pass
697,MG910928,Pass,Pass
698,MG910929,Pass,Pass
699,MG910931,Pass,Pass
700,MG910933,Pass,Pass
701,MG910935,Pass,Pass
702,MG787938,Pass,Pass
703,CY263048,Pass,Pass
704,CY263072,Pass,3'NCR-del
705,CY263088,Pass,3'NCR-del
706,CY265875,Pass,5'NCR-del
707,CY263900,Pass,Pass
708,CY263916,Pass,3'NCR-del
709,CY265955,Pass,5'NCR-del
710,CY265971,Pass,3'NCR-del
711,CY262867,Pass,Pass
712,CY265946,Pass,Pass
713,CY265949,Pass,Pass
714,CY262870,Pass,3'NCR-del
715,CY262873,Pass,CDS-3Xdel
